"Country A","Country B","Type","Date of signature","Effective","Status","Source","WHTrates","PE","Other","UN","5(3)(a)C","5(3)(a)S","5(3)(b)","5(4)(a)","5(4)(b)","5(5)(b)","5(6)","5(7)","7(1)(b&c)","7(3)","8(2)","10(2)(a)Q","10(2)(a)T","10(2)(b)","11(2)","11(2)F","12(2)","12(2)C","12(2)E","12(A)","13(4)","13(5)","14","16(2)","21(3)","25B(5)","27","29"
"Australia","Kiribati","Original","1991","1991","In Force","0.56","0.56","0.48","0.63","0.53","3","YES","3","YES","YES","YES","NO","NO","YES","NO","YES","20","","20","10","10","15","15","15","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Australia","Papua New Guinea","Original","1989","1990","In Force","0.49","0.5","0.48","0.5","0.47","3","YES","3","YES","YES","YES","NO","NO","YES","NO","NO","20","","20","10","10","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Australia","Philippines","Original","1979","1980","In Force","0.51","0.66","0.59","0.29","0.44","6","YES","6","YES","YES","YES","NO","YES","YES","NO","NO","15","","25","15","15","25","25","25","0","NO","NO","YES","NO","","NO","NO","NA"
"Australia","Sri Lanka","Original","1989","1992","In Force","0.68","0.44","0.72","0.88","0.76","6","YES","6","NO","NO","YES","NO","NO","YES","YES","YES","15","","15","10","10","10","10","10","0","YES","YES","YES","NO","YES","NO","NO","NA"
"Australia","China","Original","1988","1991","In Force","0.51","0.44","0.47","0.63","0.53","6","YES","6","YES","YES","NO","NO","YES","NO","YES","NO","15","","15","10","10","10","10","10","0","YES","YES","YES","NO","YES","NO","NO","NA"
"Australia","Thailand","Original","1989","1990","In Force","0.65","0.59","0.59","0.75","0.65","6","YES","6","YES","YES","YES","NO","YES","YES","NO","YES","15","25","NO LIMIT","25","10","15","15","15","0","YES","YES","YES","NO","YES","NO","NO","NA"
"Argentina","Australia","Original","1999","2000","In Force","0.7","0.64","0.72","0.75","0.76","6","YES","6","NO","NO","NO","YES","NO","YES","YES","NO","10","25","15","12","12","15","10","10","15","YES","YES","YES","NO","YES","NO","NO","NA"
"Australia","Mexico","Original","2002","2004","In Force","0.36","0.38","0.22","0.5","0.35","6","YES","NO","YES","YES","NO","NO","NO","NO","YES","NO","0","10","15","15","10","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Australia","Samoa","Original","2009","2013","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","Marshall Islands","Original","2010","2012","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","Mauritius","Original","2010","2014","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","Vietnam","Amended by protocol","2000","2003","In Force","0.32","0.38","0.22","0.38","0.29","6","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Australia","South Africa","Amended by protocol","2008","2009","In Force","0.36","0.25","0.47","0.38","0.41","6","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","5","10","15","10","0","5","5","5","0","YES","NO","YES","NO","YES","NO","YES","NA"
"Australia","India","Amended by MLI","2017","2019","In Force","0.73","0.73","0.84","0.63","0.76","6","YES","6","NO","NO","YES","NO","YES","NO","NO","YES","15","","15","15","15","15","15","10","15","YES","YES","YES","NO","YES","NO","YES","PPT"
